pattern_id,code,pattern,length,density,frequency,found_in
P000,PPPP,X X X X | X X X X | X X X X | X X X X,16,16,1729,"ทยอยนอก สามชั้น, พม่าห้าท่อน หกชั้น, ทะเลบ้า เถา, ทยอยญวน เถา, เขมรราชบุรี สามชั้น, ทยอยใน เถา, ใบ้คลั่ง เถา, ทยอยเขมร สามชั้น …+83"
P001,IILL,- X - X | - X - X | X X - X | X X - X,16,10,996,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), สาธุการ, แขกโอด สามชั้น, บุหลัน เถา, ตับต้นเพลงฉิ่ง, ระบำสวัสดิรักษา, บังใบ เถา, กลม …+157"
P002,JPJP,- - X X | X X X X | - - X X | X X X X,16,12,760,"เขมรราชบุรี สามชั้น, โอ้ลาว เถา, ทยอยเขมร สามชั้น, ทยอยใน เถา, โหมโรงพม่าวัด, พม่าห้าท่อน สามชั้น, ทะเลบ้า เถา, พม่าห้าท่อน หกชั้น …+73"
P003,NPPP,- X X X | X X X X | X X X X | X X X X,16,15,656,"บุหลัน เถา, โหมโรงพม่าวัด, ทยอยใน เถา, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เขมรราชบุรี สามชั้น, ทะเลบ้า เถา, สี่บท เถา, ทยอยญวน เถา …+98"
P004,JJJJ,- - X X | - - X X | - - X X | - - X X,16,8,630,"เชิดจีน, ทยอยนอก สามชั้น, พม่าห้าท่อน หกชั้น, ทยอยใน เถา, บุหลัน เถา, โอ้ลาว เถา, ทยอยญวน เถา, แขกลพบุรี สามชั้น …+65"
P005,ILLL,- X - X | X X - X | X X - X | X X - X,16,11,482,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ตับต้นเพลงฉิ่ง, แขกมอญ เถา, พม่าเห่ เถา, โหมโรงจีนโล้, สารถี เถา, สุรินทราหู เถา, แขกโอด สามชั้น …+115"
P006,IIII,- X - X | - X - X | - X - X | - X - X,16,8,480,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ระบำม่านมุ้ยเชียงตา, กราวใน, จีนลั่นถัน เถา, เชิด สองชั้น, ช้าเรื่องขอมดำดิน, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ) …+94"
P007,IJII,- X - X | - - X X | - X - X | - X - X,16,8,427,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), สี่บท เถา, แขกมอญ เถา, ช้าเรื่องขอมดำดิน, บุหลัน เถา, พม่าห้าท่อน หกชั้น, สุรินทราหู เถา, อกทะเล สามชั้น …+124"
P008,NIII,- X X X | - X - X | - X - X | - X - X,16,9,404,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), สาธุการ, ช้าเรื่องสร้อยสน (พระนคร), ช้าเรื่องขอมดำดิน, เชิดฉาน, พระรามเดินดง …+69"
P009,DDDD,- - - X | - - - X | - - - X | - - - X,16,4,349,"ทะเลบ้า เถา, พม่าห้าท่อน หกชั้น, ระบำเริงอรุณ, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ทยอยญวน เถา, ระบำชาวนา, เขมรราชบุรี สามชั้น, ช้างประสานงา เถา …+105"
P010,JIII,- - X X | - X - X | - X - X | - X - X,16,8,310,"เทพรัญจวน เถา, พม่าห้าท่อน หกชั้น, ทยอยใน เถา, ระบำสี่บท, สารถี เถา, อาเฮีย เถา, เขมรปี่แก้ว สามชั้น, ระบำม่านมุ้ยเชียงตา …+102"
P011,DIII,- - - X | - X - X | - X - X | - X - X,16,7,300,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), เหาะ, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ตับมโหรีนางนาค, จีนล่องหน่าย, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ตระย้อนรอย, ระบำสวัสดิรักษา …+106"
P012,DNDN,- - - X | - X X X | - - - X | - X X X,16,8,279,"ตับมโหรีนางนาค, การเวกเล็ก เถา, ทยอยเขมร สามชั้น, บุหลัน เถา, แขกมอญ เถา, อาถรรพ์ เถา, เขมรใหญ่ สามชั้น, ระบำสี่บท …+93"
